      警告：已去描边但找不到原始档，只能就地调整 Alpha，之后无法还原	      WARNING: patched but no original archive found - only Alpha can be adjusted in place, restoring later will be impossible
      顺手清理本脚本存档：释放 {0} KB	      also cleaned this tool's archive: freed {0} KB
      已有同内容原始档，跳过存档 -> {0}	      identical original archive already exists, skipping archive -> {0}
      原始档已存档 -> {0}	      original archived -> {0}
   …还有 	   ...and 
   孤儿：	    orphan: 
  "note": "R=0,G=0；B 保留；A 按 alpha 设置"	  "note": "R=0,G=0；B 保留；A 按 alpha 设置"
  [提示] 	  [note] 
  [异常] 	  [ISSUE] 
  ·  顶点色方案（R=描边遮罩  G=描边厚度  B=皮肤遮罩不改  A=头发厚度）	  ·  vertex-color method (R=outline mask  G=outline thickness  B=skin mask untouched  A=hair thickness)
  已处理 	  processed 
 个 —— 「<= 当前基准」那份就是打补丁前的内容	 restore point(s) - the one marked "<= current base" is the pre-patch content
 个 Color.buf，正在读取状态…	 Color.buf file(s), reading state...
 个（-PurgeOrphans 清理）：	 orphan(s) (-PurgeOrphans to clean):
 个）	)
 个，点「清理孤儿存档」可全部清理	 more; use "Clean orphan backups" to remove them all
 个存档	 archive(s)
 个存档 + 清单	 archive(s) + manifest(s)
 下没找到 Color.buf（也读不到 [ResourceColorBuffer]）	: no Color.buf found here (and no [ResourceColorBuffer] either)
 项	 check(s)
\r\n说明它画的是**游戏原版网格**，所以它自己的顶点色根本不会被加载 —— 清 R/G 不会有任何效果，工具会跳过它。	\r\nThat means it draws the game's own mesh, so its vertex colors are never loaded - zeroing R/G has no effect at all, and the tool skips it.
\r\n游戏里看到的描边是原版模型的描边，要处理得靠 shader 级的去描边 mod。	\r\nThe outline you see in game is the vanilla mesh's outline; removing it needs a shader-level mod.
\r\n这个 mod 里还有 Wuwa Mod Fixer 的备份，也能作为还原点使用。	\r\nThis mod also has Wuwa Mod Fixer backups, which can be used as restore points.
\r\n注意：找不到原始档，还原不了（可能是备份被删了）。	\r\nNote: no original archive found, cannot restore (the backup may have been deleted).
（大文件未统计，可勾选「大文件也精确统计顶点数」）	(not counted for large files; tick "Count vertices exactly for large files")
（演练）	 (dry run)
（演练，不写盘）	 (dry run, nothing written)
（约 	(approx. 
[演练] {0}（顶点 {1}；基准 {2}；Alpha={3}）	[dry run] {0} (vertices {1}; base {2}; Alpha={3})
[演练] 将删除 	[dry run] would delete 
[演练] 将用 {0} 还原 {1}	[dry run] would restore {1} from {0}
] 还原点 	] restore point(s): 
] 没有可用还原点：它的原始数据没有被留档过。	] has no restore points: its original data was never archived.
] 没有可用还原点：这个 mod 还没有被本工具留档过（原版 mod，或者原始档被删了）。	] has no restore points: this mod was never archived by this tool (vanilla mod, or its archive was deleted).
{0}孤儿存档 {1} 个，{2}	{0} {1} orphan archive(s), {2}
【演练】	[DRY RUN] 
<= 当前基准	<= current base
A=255（另一种，一般不用）	A=255 (alternative, rarely needed)
Alpha=0 应用到 A 通道	Alpha=0 applied to the A channel
B/A 逐字节保留	B/A preserved byte-for-byte
Fixer 备份	Fixer backup
mod 的 ini 没声明 Color.buf，顶点色方案对它无效（会在游戏里保留原版描边）	the mod's ini does not declare Color.buf, so the vertex-color method does nothing for it (its vanilla outline stays)
mod 的 ini 没声明 Color.buf，改动不会有任何效果（建议还原掉，避免误以为生效）	the mod's ini does not declare Color.buf, so changes have no effect (restore it so you don't think it worked)
MOD 目录	Mods folder
mod 文件夹名，就是 mod manager 里显示的那个名字	Mod name as shown in the mod manager
R/G 全零(本就无描边)	R/G all zero (no outline anyway)
R/G 已清零	R/G zeroed
Wuwa Mod Fixer 在这个 mod 里留下的 .BAK 数量（本工具只读引用，永不修改）	Number of .BAK files Wuwa Mod Fixer left in this mod (read-only; this tool never modifies them)
把表格里选中的行，还原成列表里选中的那个版本	Restore the row selected in the table to the version selected in the list
把这个范围内所有文件，还原成「本工具改动之前」的状态（最新那份原始档）	Restore every file in range to how it was before this tool touched it (newest archive)
版本	Version
保持不动（推荐先这样）	Leave as is (recommended)
备份 / 回滚	Backup / Restore
备份 / 回滚页：查看可还原的版本、还原、体检、清理	Backup / Restore: view versions, restore, verify, clean up
备份就在每个 mod 自己的 Meshes 里：.nooutline.json（清单）+ Color.buf.orig.<哈希>.bak（原始文件），重命名 / 挪位置都不会丢	Backups live inside each mod's own Meshes folder: .nooutline.json (manifest) + Color.buf.orig.<hash>.bak (original file), so renaming or moving the mod keeps them
本工具存档	This tool's archive
本工具在这个 mod 里占用的备份空间。点「清理本工具存档」可释放（之后就不能还原了）	Backup space this tool occupies in the mod. "Delete my backups & manifest" frees it (after which you can no longer restore)
本就无描边	no outline anyway
表格：每一行是一个 mod 的 Color.buf。\r\n悬浮在「状态」格上会用人话解释这一行的现状。\r\n双击某一行可直接跳到「备份 / 回滚」页看它的还原点。	Table: one row per Color.buf of a mod.\r\nHover the "State" cell for a plain-language explanation.\r\nDouble-click a row to jump to its restore points.
查看选中 mod 的还原点	Show restore points of the selected mod
出错：	ERROR: 
初始状态=原版(未记录)（实际 	initial state = Original (not recorded) (actual 
打完后状态=已去描边（实际 	state after patch = Outline removed (actual 
大文件也精确统计顶点数（慢）	Count vertices exactly for large files (slow)
大小	Size
带描边	Outlined
带描边顶点	Outlined verts
当前文件(=已记录原版)	current file (= recorded original)
当前文件（无原始档，仅调整 Alpha）	current file (no archive; Alpha only)
当前文件(新版原版)	current file (new original)
顶点数	Vertices
顶点数：	Vertices: 
读取失败：	read failed: 
对范围内所有文件执行去描边。\r\n已经处理过的会自动跳过（不会重复备份、不会叠加修改）。\r\n处理前会自动在各自的 mod 文件夹里留一份原始档。	Remove the outline on every file in range.\r\nAlready-processed files are skipped automatically (no duplicate archives, no stacking).\r\nAn original archive is saved inside each mod folder first.
发现 	Found 
发现 1 个 Color.buf（实际 	Found 1 Color.buf (actual 
改 Alpha 后 B 仍保留	B still preserved after changing Alpha
给皮肤 mod 去掉角色卡通描边  ·  原始数据自动留档，可随时还原  ·  改完回游戏按 F10 重载	Remove the cel-shading outline from skin mods  ·  originals archived automatically, restorable anytime  ·  press F10 in game to reload
更新后还原 = 新版内容	restore after update = new content
更新后重打：B/A 按新版本保留（不再用旧档覆盖）	re-patch after update: B/A follow the new version (the old archive no longer overwrites it)
共 {0} 个  ·  异常 {1}  ·  提示 {2}  ·  {3:0.0}s	{0} total  ·  {1} issues  ·  {2} notes  ·  {3:0.0}s
共 {0} 个 Color.buf；孤儿存档 {1} 个。	{0} Color.buf total; {1} orphan archive(s).
勾上后，只对表格里选中的那些行操作，其它文件一律不碰。\r\n适合先拿一两个角色试水。	When ticked, only the rows selected in the table are processed; nothing else is touched.\r\nGood for trying one or two characters first.
孤儿存档 	orphan archive(s) 
还没处理过。点「开始去描边」会清掉描边，并自动在这个 mod 里留一份原始档。	Not processed yet. "Remove outline" clears it and archives the original inside this mod automatically.
还没有扫描结果\r\n\r\n点右上角「扫描」列出所有皮肤 mod，然后点「开始去描边」	No scan results yet\r\n\r\nClick "Scan" at the top right to list every skin mod, then "Remove outline".
还原到指定版本：{0} —— 用 {1}（{2}）{3}	Restore to a specific version: {0} - using {1} ({2}) {3}
还原点(	restore point (
还原点跟着 mod 文件夹走：重命名、挪位置之后依然认得。	Restore points travel with the mod folder: still recognised after renaming or moving.
还原点列表：每一行是一份可以还原回去的原始文件。\r\n· 版本 mine:xxxx = 本工具存档；legacy = 旧版备份；fixer:… = Wuwa Mod Fixer 的 .BAK\r\n· 标了「当前基准」的那份，就是本工具「打补丁前」的状态\r\n选中一行后点「选中行 → 还原到选中版本」，就会用它覆盖当前文件。	Restore points: one row per original file you can go back to.\r\n· mine:xxxx = this tool's archive; legacy = old script backup; fixer:... = Wuwa Mod Fixer .BAK\r\n· the row marked "current base" is this tool's pre-patch state\r\nSelect a row, then "Selected row -> restore to selected version" overwrites the file with it.
还原后清单已删除	manifest removed after restore
还原后与原始文件逐字节一致	byte-identical to the original after restore
还原失败：找不到还原点「	restore failed: no restore point "
还原中…	Restoring...
旧版备份	Legacy backup
开始还原：{0} 个文件，选择={1}{2}	Restoring: {0} file(s), selector={1}{2}
开始去描边	Remove outline
